person_id,full_name,other_names,assnat_url
15425,jean habel,habel,/fr/deputes/habel-jean-15425/index.html
5831,jean rioux,rioux,/fr/deputes/rioux-jean-5831/index.html
5165,jean rochon,rochon,/fr/deputes/rochon-jean-5165/index.html
12167,jean rousselle,rousselle,/fr/deputes/rousselle-jean-12167/index.html
17857,jeanbernard emond,emond,/fr/deputes/emond-jean-bernard-17857/index.html
3447,jeanclaude gobe,gobe,/fr/deputes/gobe-jean-claude-3447/index.html
5243,jeanclaude standre,standre,/fr/deputes/st-andre-jean-claude-5243/index.html
15431,jeandenis girard,girard,/fr/deputes/girard-jean-denis-15431/index.html
5877,jeanfrancois gosselin,gosselin,/fr/deputes/gosselin-jean-francois-5877/index.html
12169,jeanfrancois lisee,lisee,/fr/deputes/lisee-jean-francois-12169/index.html
15361,jeanfrancois roberge,roberge,/fr/deputes/roberge-jean-francois-15361/index.html
5905,jeanfrancois roux,roux,/fr/deputes/roux-jean-francois-5905/index.html
5369,jeanfrancois simard,NA,/fr/deputes/simard-jean-francois-5369/index.html
5913,jeanfrancois therrien,therrien,/fr/deputes/therrien-jean-francois-5913/index.html
4761,jeanguy pare,pare,/fr/deputes/pare-jean-guy-4761/index.html
3233,jeanmarc fournier,fournier,/fr/deputes/fournier-jean-marc-3233/index.html
12195,jeanmarie claveau,claveau,/fr/deputes/claveau-jean-marie-12195/index.html
509,jeanmartin aussant,aussant,/fr/deputes/aussant-jean-martin-509/index.html
2113,jeannel blackburn,blackburn,/fr/deputes/blackburn-jeanne-l-2113/index.html
12209,jeannine richard,NA,/fr/deputes/richard-jeannine-12209/index.html
2011,jeanpaul bergeron,bergeron,/fr/deputes/bergeron-jean-paul-2011/index.html
189,jeanpaul diamond,diamond,/fr/deputes/diamond-jean-paul-189/index.html
2513,jeanpierre charbonneau,NA,/fr/deputes/charbonneau-jean-pierre-2513/index.html
3733,jeanpierre jolivet,jolivet,/fr/deputes/jolivet-jean-pierre-3733/index.html
5827,jeanpierre paquin,paquin,/fr/deputes/paquin-jean-pierre-5827/index.html
5833,jeanpierre soucy,soucy,/fr/deputes/soucy-jean-pierre-5833/index.html
3929,jeansebastien lamoureux,lamoureux,/fr/deputes/lamoureux-jean-sebastien-3929/index.html
17911,jennifer maccarone,maccarone,/fr/deputes/maccarone-jennifer-17911/index.html
2411,jocelyne caron,caron,/fr/deputes/caron-jocelyne-2411/index.html
17947,joel arseneau,arseneau ; m. arseneau ; m.arseneau,/fr/deputes/arseneau-joel-17947/index.html
18561,joelle boutin,boutin,/fr/deputes/boutin-joelle-18561/index.html
1365,johanne gonthier,gonthier,/fr/deputes/gonthier-johanne-1365/index.html
